ident;type_client;tranche_age;statut_matrimonial;anciennete;tranche_epargne;profession;cumul_credit;salaire;credit_demande
I001;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;765;700
I002;bon client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;465;465
I003;mauvais client;de 23 a 40 ans;veuf;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;680;555
I004;bon client;de 23 a 40 ans;divorce;anc. de 1  a 4 ans;moins de 10KF epargn;employe;de 40 a 100  debits;560;640
I005;bon client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;575;570
I006;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;525;475
I007;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;cadre;moins de 40  debits;925;715
I008;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;moins de 40  debits;925;735
I009;bon client;de 40 a 50 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;565;360
I010;bon client;plus de 50 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;635;605
I011;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;795;710
I012;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;moins de 10KF epargn;cadre;moins de 40  debits;595;555
I013;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;autre;de 40 a 100  debits;430;430
I014;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;775;620
I015;bon client;de 40 a 50 ans;divorce;anc. de 4  a 6 ans;moins de 10KF epargn;cadre;plus de 100  debits;715;530
I016;mauvais client;de 40 a 50 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;650;505
I017;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;autre;moins de 40  debits;550;730
I018;mauvais client;plus de 50 ans;veuf;anc. plus   12 ans;pas d'epargne;autre;de 40 a 100  debits;630;520
I019;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;moins de 40  debits;785;630
I020;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;moins de 10KF epargn;employe;moins de 40  debits;665;790
I021;bon client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;moins de 10KF epargn;employe;de 40 a 100  debits;570;545
I022;bon client;de 23 a 40 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;535;480
I023;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;plus de 100  debits;590;295
I024;bon client;de 40 a 50 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;cadre;plus de 100  debits;820;780
I025;mauvais client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;325;345
I026;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;575;500
I027;mauvais client;de 40 a 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;655;500
I028;bon client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;450;395
I029;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;moins de 10KF epargn;employe;plus de 100  debits;730;530
I030;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;880;690
I031;bon client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;510;500
I032;mauvais client;plus de 50 ans;divorce;anc. plus   12 ans;moins de 10KF epargn;cadre;plus de 100  debits;765;565
I033;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;795;690
I034;bon client;moins de 23 ans;marie;anc. de 1  a 4 ans;de 10 a 100KF epargn;autre;de 40 a 100  debits;280;650
I035;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;plus de 100KF epargn;employe;moins de 40  debits;780;960
I036;bon client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;plus de 100KF epargn;employe;plus de 100  debits;680;715
I037;bon client;de 40 a 50 ans;divorce;anc. plus   12 ans;pas d'epargne;cadre;moins de 40  debits;820;710
I038;bon client;moins de 23 ans;marie;anc. de 4  a 6 ans;de 10 a 100KF epargn;cadre;de 40 a 100  debits;705;650
I039;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;550;415
I040;bon client;de 23 a 40 ans;celibataire;anc. plus   12 ans;moins de 10KF epargn;cadre;moins de 40  debits;680;815
I041;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;675;735
I042;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;815;545
I043;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;cadre;de 40 a 100  debits;875;625
I044;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;710;665
I045;bon client;plus de 50 ans;divorce;anc. plus   12 ans;de 10 a 100KF epargn;cadre;moins de 40  debits;770;890
I046;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;de 40 a 100  debits;735;490
I047;bon client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;moins de 10KF epargn;employe;de 40 a 100  debits;590;570
I048;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;580;465
I049;bon client;de 40 a 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;autre;plus de 100  debits;580;620
I050;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;autre;de 40 a 100  debits;570;745
I051;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;595;370
I052;bon client;de 23 a 40 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;autre;de 40 a 100  debits;110;480
I053;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;370;510
I054;bon client;de 40 a 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;plus de 100  debits;775;520
I055;bon client;plus de 50 ans;marie;anc. plus   12 ans;plus de 100KF epargn;cadre;de 40 a 100  debits;850;890
I056;bon client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;845;545
I057;bon client;plus de 50 ans;divorce;anc. de 1  a 4 ans;pas d'epargne;cadre;moins de 40  debits;655;575
I058;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;moins de 10KF epargn;employe;de 40 a 100  debits;610;560
I059;bon client;plus de 50 ans;marie;anc. plus   12 ans;de 10 a 100KF epargn;cadre;plus de 100  debits;890;805
I060;mauvais client;de 40 a 50 ans;marie;anc. plus   12 ans;moins de 10KF epargn;employe;plus de 100  debits;760;775
I061;bon client;plus de 50 ans;divorce;anc. plus   12 ans;moins de 10KF epargn;autre;de 40 a 100  debits;485;790
I062;bon client;de 23 a 40 ans;celibataire;anc. plus   12 ans;moins de 10KF epargn;employe;de 40 a 100  debits;650;705
I063;mauvais client;plus de 50 ans;marie;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;590;375
I064;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;plus de 100  debits;870;480
I065;bon client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;590;480
I066;bon client;moins de 23 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;cadre;moins de 40  debits;665;505
I067;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;plus de 100KF epargn;autre;de 40 a 100  debits;860;920
I068;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;770;460
I069;bon client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;moins de 40  debits;675;620
I070;bon client;plus de 50 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;autre;de 40 a 100  debits;720;565
I071;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;600;520
I072;mauvais client;de 40 a 50 ans;marie;anc. plus   12 ans;de 10 a 100KF epargn;employe;plus de 100  debits;860;850
I073;bon client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;moins de 10KF epargn;employe;moins de 40  debits;440;680
I074;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;675;660
I075;bon client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;630;465
I076;bon client;de 40 a 50 ans;celibataire;anc. de 4  a 6 ans;de 10 a 100KF epargn;cadre;de 40 a 100  debits;485;710
I077;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;820;735
I078;bon client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;pas d'epargne;cadre;moins de 40  debits;785;575
I079;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;305;265
I080;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;805;765
I081;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;805;465
I082;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;cadre;moins de 40  debits;665;770
I083;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;815;670
I084;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;moins de 10KF epargn;employe;moins de 40  debits;815;910
I085;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;de 10 a 100KF epargn;autre;plus de 100  debits;420;810
I086;bon client;de 40 a 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;670;665
I087;bon client;de 40 a 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;775;655
I088;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;660;725
I089;bon client;plus de 50 ans;veuf;anc. de 4  a 6 ans;pas d'epargne;cadre;plus de 100  debits;635;315
I090;mauvais client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;600;285
I091;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;moins de 10KF epargn;employe;plus de 100  debits;425;215
I092;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;480;425
I093;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;390;100
I094;bon client;plus de 50 ans;veuf;anc. plus   12 ans;pas d'epargne;cadre;plus de 100  debits;830;465
I095;mauvais client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;600;585
I096;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;moins de 10KF epargn;employe;de 40 a 100  debits;730;660
I097;mauvais client;plus de 50 ans;veuf;anc. de 1  a 4 ans;pas d'epargne;employe;de 40 a 100  debits;585;520
I098;bon client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;de 10 a 100KF epargn;employe;moins de 40  debits;650;725
I099;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;690;660
I100;bon client;moins de 23 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;moins de 40  debits;520;490
I101;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;autre;plus de 100  debits;620;620
I102;mauvais client;de 23 a 40 ans;marie;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;730;315
I103;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;475;465
I104;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;770;610
I105;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;autre;de 40 a 100  debits;565;460
I106;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;680;455
I107;bon client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;595;425
I108;bon client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;620;560
I109;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;de 10 a 100KF epargn;employe;plus de 100  debits;780;835
I110;mauvais client;moins de 23 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;115;195
I111;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;785;770
I112;mauvais client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;650;525
I113;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;780;700
I114;bon client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;565;500
I115;bon client;plus de 50 ans;marie;anc. de 1  a 4 ans;pas d'epargne;autre;moins de 40  debits;650;550
I116;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;de 40 a 100  debits;860;670
I117;bon client;moins de 23 ans;marie;anc. plus   12 ans;pas d'epargne;autre;de 40 a 100  debits;630;615
I118;bon client;de 40 a 50 ans;marie;anc. de 6  a 12 ans;plus de 100KF epargn;cadre;moins de 40  debits;740;925
I119;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;640;685
I120;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;cadre;moins de 40  debits;700;650
I121;bon client;de 23 a 40 ans;divorce;anc. plus   12 ans;de 10 a 100KF epargn;employe;moins de 40  debits;720;900
I122;bon client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;cadre;moins de 40  debits;785;615
I123;bon client;plus de 50 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;760;730
I124;bon client;moins de 23 ans;marie;anc. de 4  a 6 ans;moins de 10KF epargn;employe;moins de 40  debits;725;670
I125;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;580;225
I126;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;545;495
I127;bon client;moins de 23 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;de 40 a 100  debits;815;625
I128;bon client;de 40 a 50 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;670;555
I129;mauvais client;de 23 a 40 ans;marie;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;680;520
I130;bon client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;645;490
I131;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;de 10 a 100KF epargn;employe;plus de 100  debits;670;680
I132;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;cadre;moins de 40  debits;685;690
I133;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;445;420
I134;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;autre;de 40 a 100  debits;410;500
I135;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;autre;moins de 40  debits;780;660
I136;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;620;500
I137;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;695;440
I138;bon client;de 40 a 50 ans;celibataire;anc. de 6  a 12 ans;de 10 a 100KF epargn;employe;plus de 100  debits;605;775
I139;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;autre;plus de 100  debits;740;505
I140;bon client;de 23 a 40 ans;marie;anc. 1 an  ou moins;plus de 100KF epargn;autre;moins de 40  debits;355;795
I141;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;cadre;plus de 100  debits;635;530
I142;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;moins de 10KF epargn;employe;plus de 100  debits;545;380
I143;bon client;de 40 a 50 ans;divorce;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;615;700
I144;bon client;de 40 a 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;690;500
I145;bon client;moins de 23 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;760;555
I146;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;cadre;plus de 100  debits;710;760
I147;mauvais client;de 23 a 40 ans;celibataire;anc. de 1  a 4 ans;moins de 10KF epargn;autre;plus de 100  debits;525;380
I148;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;autre;moins de 40  debits;680;665
I149;bon client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;385;410
I150;bon client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;535;495
I151;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;860;770
I152;bon client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;525;500
I153;bon client;plus de 50 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;employe;moins de 40  debits;675;815
I154;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;535;650
I155;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;employe;de 40 a 100  debits;760;760
I156;mauvais client;de 23 a 40 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;695;660
