ident;type_client;tranche_age;statut_matrimonial;anciennete;tranche_epargne;profession;cumul_credit;salaire;credit_demande
I314;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;300;340
I315;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;570;445
I316;mauvais client;de 23 a 40 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;305;355
I317;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;320;265
I318;mauvais client;plus de 50 ans;veuf;anc. 1 an  ou moins;pas d'epargne;cadre;plus de 100  debits;785;325
I319;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;635;335
I320;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;300;465
I321;mauvais client;plus de 50 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;de 40 a 100  debits;660;345
I322;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;415;340
I323;mauvais client;moins de 23 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;moins de 40  debits;545;490
I324;mauvais client;plus de 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;cadre;de 40 a 100  debits;610;405
I325;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;420;420
I326;mauvais client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;autre;plus de 100  debits;875;395
I327;mauvais client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;de 10 a 100KF epargn;employe;plus de 100  debits;720;640
I328;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;moins de 10KF epargn;employe;plus de 100  debits;780;445
I329;mauvais client;de 23 a 40 ans;marie;anc. de 1  a 4 ans;pas d'epargne;employe;moins de 40  debits;420;540
I330;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;435;390
I331;mauvais client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;395;440
I332;mauvais client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;645;625
I333;mauvais client;moins de 23 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;630;440
I334;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;375;440
I335;mauvais client;plus de 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;cadre;plus de 100  debits;455;190
I336;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;305;455
I337;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;365;520
I338;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;195;410
I339;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;370;405
I340;mauvais client;plus de 50 ans;veuf;anc. de 1  a 4 ans;pas d'epargne;employe;de 40 a 100  debits;495;455
I341;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;325;375
I342;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;employe;moins de 40  debits;435;540
I343;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;235;335
I344;mauvais client;plus de 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;585;435
I345;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;plus de 100  debits;650;275
I346;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;265;500
I347;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;505;410
I348;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;employe;moins de 40  debits;380;470
I349;mauvais client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;employe;de 40 a 100  debits;470;665
I350;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;395;445
I351;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;265;230
I352;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;435;505
I353;mauvais client;de 23 a 40 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;de 40 a 100  debits;405;505
I354;mauvais client;moins de 23 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;autre;de 40 a 100  debits;335;360
I355;mauvais client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;310;535
I356;mauvais client;plus de 50 ans;divorce;anc. de 4  a 6 ans;pas d'epargne;employe;moins de 40  debits;610;575
I357;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;195;465
I358;mauvais client;de 23 a 40 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;autre;moins de 40  debits;355;570
I359;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;350;465
I360;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;de 40 a 100  debits;840;275
I361;mauvais client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;autre;plus de 100  debits;780;540
I362;mauvais client;de 23 a 40 ans;divorce;anc. de 4  a 6 ans;pas d'epargne;autre;plus de 100  debits;275;290
I363;mauvais client;moins de 23 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;255;375
I364;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;325;335
I365;mauvais client;de 23 a 40 ans;marie;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;640;340
I366;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;295;205
I367;mauvais client;plus de 50 ans;veuf;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;375;320
I368;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;620;310
I369;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;225;365
I370;mauvais client;plus de 50 ans;veuf;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;515;535
I371;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;370;330
I372;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;160;350
I373;mauvais client;moins de 23 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;265;300
I374;mauvais client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;465;340
I375;mauvais client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;385;445
I376;mauvais client;moins de 23 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;325;140
I377;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;580;405
I378;mauvais client;plus de 50 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;autre;de 40 a 100  debits;570;520
I379;mauvais client;moins de 23 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;autre;plus de 100  debits;330;260
I380;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;565;220
I381;mauvais client;moins de 23 ans;marie;anc. de 6  a 12 ans;pas d'epargne;autre;plus de 100  debits;570;475
I382;mauvais client;de 23 a 40 ans;marie;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;290;300
I383;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;500;290
I384;mauvais client;de 23 a 40 ans;marie;anc. de 1  a 4 ans;pas d'epargne;autre;plus de 100  debits;270;315
I385;mauvais client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;735;580
I386;mauvais client;de 40 a 50 ans;divorce;anc. de 4  a 6 ans;pas d'epargne;cadre;plus de 100  debits;640;320
I387;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;employe;plus de 100  debits;575;370
I388;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;autre;plus de 100  debits;730;475
I389;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;495;430
I390;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;420;405
I391;mauvais client;de 23 a 40 ans;marie;anc. de 1  a 4 ans;pas d'epargne;autre;de 40 a 100  debits;420;460
I392;mauvais client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;autre;moins de 40  debits;575;550
I393;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;265;450
I394;mauvais client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;employe;de 40 a 100  debits;530;825
I395;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;280;295
I396;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;290;335
I397;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;moins de 10KF epargn;employe;plus de 100  debits;855;740
I398;mauvais client;moins de 23 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;autre;de 40 a 100  debits;275;240
I399;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;265;350
I400;mauvais client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;moins de 10KF epargn;autre;plus de 100  debits;270;570
I401;mauvais client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;pas d'epargne;autre;de 40 a 100  debits;335;480
I402;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;340;360
I403;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;moins de 10KF epargn;cadre;plus de 100  debits;700;760
I404;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;745;290
I405;mauvais client;plus de 50 ans;divorce;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;600;550
I406;mauvais client;de 23 a 40 ans;divorce;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;385;205
I407;mauvais client;de 23 a 40 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;530;565
I408;mauvais client;plus de 50 ans;veuf;anc. plus   12 ans;pas d'epargne;autre;plus de 100  debits;485;565
I409;mauvais client;moins de 23 ans;celibataire;anc. de 1  a 4 ans;moins de 10KF epargn;autre;plus de 100  debits;350;285
I410;mauvais client;de 40 a 50 ans;veuf;anc. 1 an  ou moins;moins de 10KF epargn;employe;plus de 100  debits;555;455
I411;mauvais client;moins de 23 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;cadre;de 40 a 100  debits;375;250
I412;mauvais client;moins de 23 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;295;420
I413;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;610;305
I414;mauvais client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;autre;de 40 a 100  debits;755;590
I415;mauvais client;de 40 a 50 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;autre;plus de 100  debits;520;500
I416;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;245;450
I417;mauvais client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;plus de 100  debits;525;490
I418;mauvais client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;plus de 100  debits;440;370
I419;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;530;475
I420;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;575;525
I421;mauvais client;plus de 50 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;autre;plus de 100  debits;580;475
I422;mauvais client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;de 10 a 100KF epargn;employe;de 40 a 100  debits;505;805
I423;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;325;255
I424;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;425;350
I425;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;195;375
I426;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;330;460
I427;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;260;330
I428;mauvais client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;moins de 10KF epargn;cadre;plus de 100  debits;675;680
I429;mauvais client;moins de 23 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;355;200
I430;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;285;430
I431;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;510;455
I432;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;cadre;de 40 a 100  debits;800;295
I433;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;470;290
I434;mauvais client;de 40 a 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;200;320
I435;mauvais client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;390;470
I436;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;410;200
I437;mauvais client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;465;535
I438;mauvais client;de 40 a 50 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;autre;plus de 100  debits;330;255
I439;mauvais client;moins de 23 ans;divorce;anc. de 1  a 4 ans;moins de 10KF epargn;employe;plus de 100  debits;355;585
I440;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;385;200
I441;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;240;465
I442;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;235;450
I443;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;plus de 100  debits;600;340
I444;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;de 40 a 100  debits;695;375
I445;mauvais client;de 40 a 50 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;580;390
I446;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;525;495
I447;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;315;335
I448;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;365;275
I449;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;moins de 10KF epargn;cadre;plus de 100  debits;690;520
I450;mauvais client;de 40 a 50 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;315;335
I451;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;plus de 100  debits;290;105
I452;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;moins de 10KF epargn;autre;de 40 a 100  debits;355;545
I453;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;plus de 100  debits;680;295
I454;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;195;375
I455;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;615;430
I456;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;plus de 100  debits;670;480
I457;mauvais client;plus de 50 ans;divorce;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;625;415
I458;mauvais client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;315;265
I459;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;475;390
I460;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;270;435
I461;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;350;385
I462;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;250;450
I463;mauvais client;plus de 50 ans;veuf;anc. plus   12 ans;moins de 10KF epargn;cadre;de 40 a 100  debits;805;740
I464;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;employe;de 40 a 100  debits;330;370
I465;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;765;360
I466;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;945;455
I467;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;plus de 100  debits;830;645
I468;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;375;570
